Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,name_normalized
4065,Doom Eternal: The Ancient Gods - Part One,https://www.imdb.com/title/tt15400506/?ref_=adv_li_tt,2020.0,M,8.3,74,"The Doom Slayer's actions in Urdak broke the seal between Hell and Heaven, which now threatens all of creation. As The Slayer battles his way back to Urdak to reseal the void, the true Creator of the universe is forced to set things right.",True,True,False,False,False,True,False,False,False,doom eternal: the ancient gods - part one
4086,Super Mario Bros. Deluxe,https://www.imdb.com/title/tt19729988/?ref_=adv_li_tt,1999.0,E,8.7,7,"The Mushroom Kingdom has been invaded by the Koopa, and their king Bowser has captured Princess Toadstool. She is the only one who can break the evil spell, Mario, a humble plumber, hears of the tragedy and sets out to free her.",True,True,False,False,True,False,False,False,False,super mario bros. deluxe
4092,Popful Mail,https://www.imdb.com/title/tt0285921/?ref_=adv_li_tt,1991.0,K-A,8.1,35,"Popful Mail is a kind but struggling bounty hunter who covets money and fame. While she is on the hunt for a notorious magician, she finds herself caught up in a struggle against an ancient evil being named The Overlord.",True,True,True,False,False,False,False,False,False,popful mail
4096,Pikmin 2,https://www.imdb.com/title/tt0363890/?ref_=adv_li_tt,2004.0,E,8.4,315,"After Olimar returns to Hocotate from being stranded on the planet of the Pikmin, he discovers that Hocotate Freight, his company, is in danger of financial ruin and that only the treasure on the planet of the Pikmin can save his company.",True,True,False,False,True,False,False,False,False,pikmin 2
4097,Tachyon: The Fringe,https://www.imdb.com/title/tt0217837/?ref_=adv_li_tt,2000.0,,8.5,94,You've just been exiled from the Sol region. Can you survive in the Fringe? The place that houses all the pirates and danger in the galaxy?,True,True,False,False,False,False,False,False,False,tachyon: the fringe
4117,Shin Megami Tensei: Devil Survivor 2 Record Breaker,https://www.imdb.com/title/tt8359648/?ref_=adv_li_tt,2015.0,,8.1,19,Add a Plot,True,False,False,False,False,True,False,False,False,shin megami tensei: devil survivor 2 record breaker
4135,Gravity Falls: Legend of the Gnome Gemulets,https://www.imdb.com/title/tt5202248/?ref_=adv_li_tt,2015.0,,8.2,11,"Mabel and Dipper get sent to find 4 stones by one of the gnomes. Along the way, they help their friends find their stuff, such as CDs or tapes.",True,False,False,False,False,False,False,False,False,gravity falls: legend of the gnome gemulets
4138,Enderal: Forgotten Stories,https://www.imdb.com/title/tt15545880/?ref_=adv_li_tt,2019.0,,8.7,14,An outlander arrives on Enderal in search of a second chance in life. The outlander soon gets pulled into the turmoil the continent suffers at the moment. The Red Madness is devouring the ... See full summary »,True,True,False,False,False,True,False,False,False,enderal: forgotten stories
4141,Tornado Outbreak,https://www.imdb.com/title/tt3428176/?ref_=adv_li_tt,2009.0,,8.4,9,"Zephyr's Mission Log: First Entry Captain Nimbus has decided that it is time for him to step down and hand the reins of the squad to Zephyr, a young Wind Warrior. Zephyr, and his friends ... See full summary »",True,False,False,False,False,False,False,False,False,tornado outbreak
4148,Wu-Tang: Shaolin Style,https://www.imdb.com/title/tt0360210/?ref_=adv_li_tt,1999.0,M,8.3,52,"Martial Arts Master Xin is the guardian of the secrets of the Wu-Tang Kung Fu. The evil Mong Zhu grows jealous and decides to steal the Wu-Tang secrets, by torturing Master Xin. Members of ... See full summary »",True,True,False,False,False,True,False,False,False,wu-tang: shaolin style
4156,Disgaea 2: Cursed Memories,https://www.imdb.com/title/tt1071784/?ref_=adv_li_tt,2006.0,T,8.4,62,"The 2nd game of the series. Overlord Zenon has cursed Holt Village, turning the people in the town into monsters slowly, that also includes memory loss & conscience slowly growing too. ... See full summary »",True,True,True,False,False,False,False,False,False,disgaea 2: cursed memories
4171,Hylics,https://www.imdb.com/title/tt15048380/?ref_=adv_li_tt,2015.0,,8.6,14,"Gibby, a wizard dictator uses his power to go to the moon and forms the hylum xylem. Wayne, the crescent head hero and his friends go on a trek to the moon and end his reign.",True,True,False,False,False,True,False,False,False,hylics
4174,Big Chungus,https://www.imdb.com/title/tt14384752/?ref_=adv_li_tt,2018.0,AO,8.6,14,Big Chungus goes in an adventure to avenge his dead mother and ends up finding the biggest secrets of The Chungi,True,False,False,False,False,False,False,False,False,big chungus
